>	L[313760105000180]	373	0.00
RC[313760105000181]		0	Dist (km)
RC[313760105000182]		507	Dist (km)
>	L[313760105000139]	482	0.63
>	L[313760105000139] tel	24
RC[313760105000183]		614	Dist (km)
>	L[313760105000139]	584	0.62
>	L[313760105000139] tel	29
RC[313760105000184]		404	Dist (km)
>	L[313760105000139]	384	0.74
>	L[313760105000139] tel	19
RC[313760105000185]		388	Dist (km)
>	L[313760105000268]	291	0.84
>	L[313760105000268] tel	14
>	L[SHC1]	58	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000186]		252	Dist (km)
>	L[313760105000186]	212	0.00
>	L[SHC1]	37	20.00
>	L[SHC1] tel	1
RC[313760105000187]		428	Dist (km)
>	L[313760105000186]	335	0.21
>	L[313760105000186] tel	16
>	L[SHC1]	64	20.00
>	L[SHC1] tel	3
>	L[THC1]	7	25.00
>	L[THC1] tel	0
RC[313760105000188]		359	Dist (km)
>	L[313760105000242]	341	0.23
>	L[313760105000242] tel	17
RC[313760105000189]		218	Dist (km)
>	L[313760105000242]	207	0.57
>	L[313760105000242] tel	10
RC[313760105000190]		293	Dist (km)
>	L[313760105000268]	279	1.04
>	L[313760105000268] tel	13
RC[313760105000191]		360	Dist (km)
>	L[313760105000268]	342	1.00
>	L[313760105000268] tel	17
RC[313760105000192]		92	Dist (km)
>	L[313760105000268]	87	1.54
>	L[313760105000268] tel	4
RC[313760105000193]		438	Dist (km)
>	L[313760105000268]	417	0.86
>	L[313760105000268] tel	20
RC[313760105000194]		8	Dist (km)
>	L[313760105000268]	6	0.73
>	L[313760105000268] tel	0
>	L[SHC1]	1	20.00
>	L[SHC1] tel	0
>	L[THC1]	0	25.00
>	L[THC1] tel	0
RC[313760105000195]		79	Dist (km)
>	L[313760105000259]	59	1.89
>	L[313760105000259] tel	2
>	L[SHC1]	11	20.00
>	L[SHC1] tel	0
>	L[THC1]	3	25.00
>	L[THC1] tel	0
RC[313760105000196]		131	Dist (km)
>	L[313760105000259]	98	1.19
