Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[CLU_3128]*	eSF	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3128]*	eSB	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3128]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3128]*	ACS	0.0	3.99	0.0	4.0	4.0	0.0	0.0
[CLU_3141]*	eSF	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3141]*	eSB	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3141]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3141]*	ACS	0.0	3.99	0.0	4.0	4.0	0.0	0.0
[CLU_3143]*	eSF	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3143]*	eSB	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3143]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3143]*	ACS	0.0	4.00	0.0	4.0	4.0	0.0	0.0
[CLU_3160]*	eSF	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3160]*	eSB	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3160]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3160]*	ACS	0.0	3.99	0.0	4.0	4.0	0.0	0.0
[CLU_3166]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3166]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_3166]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3166]*	ACS	0.0	4.03	0.0	4.0	4.0	0.0	0.0
[CLU_3176]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3176]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_3176]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3176]*	ACS	0.0	4.03	0.0	4.0	4.0	0.0	0.0
[CLU_3200]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3200]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_3200]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3200]*	ACS	0.0	4.03	0.0	4.0	4.0	0.0	0.0
[CLU_3214]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3214]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_3214]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3214]*	ACS	0.0	4.03	0.0	4.0	4.0	0.0	0.0
[CLU_7923]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_7923]*	eSB	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_7923]*	eMulti	0.0	0.10	0.0	0.0	0.0	0.0	0.1
[CLU_7923]*	ACS	0.0	3.97	1.0	2.0	3.0	0.0	1.0
