Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[3106202695758]	eSB	3.0	0.00	0.0	0.0	3.0	2.9	0.0
[3106202695758]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106202695758]	ACS	20.0	1.00	0.0	0.0	20.0	19.4	0.0
[3106200024171]	eSF	4.0	0.00	0.0	0.0	4.0	3.9	0.0
[3106200024171]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200024171]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200024171]	ACS	13.0	0.00	0.0	0.0	13.0	12.5	0.0
[3106200555142]	eSF	5.0	0.00	0.0	0.0	5.0	4.8	0.0
[3106200555142]	eSB	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200555142]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200555142]	ACS	20.0	1.00	0.0	0.0	20.0	19.4	0.0
[3106202695499]	eSF	4.0	0.00	0.0	0.0	4.0	3.7	0.0
[3106202695499]	eSB	2.0	0.00	0.0	0.0	2.0	1.7	0.0
[3106202695499]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106202695499]	ACS	13.0	1.00	0.0	0.0	13.0	11.7	0.0
[3106200023434]	eSF	3.0	0.00	0.0	0.0	3.0	3.0	0.0
[3106200023434]	eSB	2.0	0.00	0.0	0.0	2.0	2.0	0.0
[3106200023434]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023434]	ACS	13.0	0.00	0.0	0.0	13.0	13.0	0.0
[3106200023760]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200023760]	eSB	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3106200023760]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023760]	ACS	12.0	1.00	0.0	0.0	12.0	11.2	0.0
[3106200023442]	eSF	5.0	0.00	0.0	0.0	5.0	4.9	0.0
[3106200023442]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023442]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023442]	ACS	23.0	1.00	0.0	0.0	23.0	22.5	0.0
[3106200023736]	eSF	3.0	0.00	0.0	0.0	3.0	2.9	0.0
[3106200023736]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023736]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023736]	ACS	11.0	0.00	0.0	0.0	11.0	10.7	0.0
[3106203286401]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106203286401]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106203286401]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106203286401]	ACS	14.0	1.00	0.0	0.0	14.0	13.2	0.0
[3106200023396]	eSF	5.0	0.00	0.0	0.0	5.0	4.8	0.0
[3106200023396]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023396]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023396]	ACS	19.0	1.00	0.0	0.0	19.0	18.3	0.0
[3106200023337]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200023337]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023337]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023337]	ACS	17.0	1.00	0.0	0.0	17.0	16.2	0.0
[3106203557472]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106203557472]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106203557472]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106203557472]	ACS	11.0	1.00	0.0	0.0	11.0	10.3	0.0
[3106200023329]	eSF	6.0	0.00	0.0	0.0	6.0	5.9	0.0
[3106200023329]	eSB	3.0	0.00	0.0	0.0	3.0	2.9	0.0
[3106200023329]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023329]	ACS	22.0	1.00	0.0	0.0	22.0	21.4	0.0
[3106200023418]	eSF	5.0	0.00	0.0	0.0	5.0	4.8	0.0
[3106200023418]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023418]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023418]	ACS	16.0	1.00	0.0	0.0	16.0	15.3	0.0
[3106200023353]	eSF	5.0	0.00	0.0	0.0	5.0	4.9	0.0
[3106200023353]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023353]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023353]	ACS	15.0	0.00	0.0	0.0	15.0	14.7	0.0
[3106200023469]	eSF	3.0	0.00	0.0	0.0	3.0	2.9	0.0
[3106200023469]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023469]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023469]	ACS	13.0	0.00	0.0	0.0	13.0	12.5	0.0
[3106200023361]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200023361]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023361]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023361]	ACS	9.0	1.00	0.0	0.0	9.0	8.3	0.0
[3106200023930]	eSF	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023930]	eSB	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023930]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023930]	ACS	4.0	0.00	0.0	0.0	4.0	4.0	0.0
[3106209077324]	eSF	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106209077324]	eSB	1.0	0.00	0.0	0.0	1.0	0.9	0.0
[3106209077324]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106209077324]	ACS	7.0	0.00	0.0	0.0	7.0	6.6	0.0
[3106202695472]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106202695472]	eSB	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3106202695472]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106202695472]	ACS	12.0	1.00	0.0	0.0	12.0	11.3	0.0
